ISO 3166-1 alpha-3,Year,Per Capita
AFG,2021,0.296119
ALB,2021,1.618066
DZA,2021,3.989977
AND,2021,5.730292
AGO,2021,0.619141
AIA,2021,9.188354
ATA,2021,0.0
ATG,2021,5.027895
ARG,2021,4.117967
ARM,2021,2.438591
ABW,2021,8.054722
AUS,2021,15.091473
AUT,2021,7.24333
AZE,2021,3.732457
BHS,2021,5.850522
BHR,2021,26.66372
BGD,2021,0.550177
BRB,2021,4.001781
BLR,2021,6.222741
BEL,2021,8.243806
BLZ,2021,1.72317
BEN,2021,0.596744
BMU,2021,8.537196
BTN,2021,1.957702
BES,2021,3.871365
BIH,2021,4.147523
BWA,2021,2.51115
BRA,2021,2.281014
VGB,2021,5.093802
BRN,2021,23.532003
BGR,2021,6.180805
BFA,2021,0.257832
BDI,2021,0.055206
KHM,2021,1.14706
CAN,2021,14.300468
CPV,2021,1.135678
CAF,2021,0.041651
TCD,2021,0.112919
CHL,2021,4.383426
CHN,2021,8.045741
CXR,2021,0.0
COL,2021,1.780076
COM,2021,0.362904
COG,2021,1.279064
COK,2021,5.375721
CRI,2021,1.517185
CIV,2021,0.426033
HRV,2021,4.359818
CUB,2021,1.959542
CUW,2021,9.686792
CYP,2021,6.108741
CZE,2021,9.241807
PRK,2021,2.170811
COD,2021,0.027183
DNK,2021,5.052228
DJI,2021,0.342974
DMA,2021,2.189268
DOM,2021,2.601405
ECU,2021,2.321741
EGY,2021,2.284635
SLV,2021,1.140987
GNQ,2021,3.196633
ERI,2021,0.226666
EST,2021,7.864087
ETH,2021,0.147922
FRO,2021,13.203997
FSM,2021,1.405118
FJI,2021,1.590295
FIN,2021,6.792338
PCZ,2021,0.0
FRA,2021,4.741312
,2021,0.0
GUF,2021,2.189895
PYF,2021,3.124014
,2021,0.0
GAB,2021,2.44
GMB,2021,0.248379
GEO,2021,2.929711
DEU,2021,8.089741
GHA,2021,0.649127
GRC,2021,5.390839
GRL,2021,9.079509
GRD,2021,2.56167
GLP,2021,5.78478
GTM,2021,1.154393
GIN,2021,0.357805
GNB,2021,0.170736
GUY,2021,3.837874
HTI,2021,0.251226
HND,2021,1.060269
HKG,2021,4.224972
HUN,2021,4.990287
ISL,2021,9.113272
IND,2021,1.925088
IDN,2021,2.262175
IRQ,2021,4.262931
IRL,2021,7.528353
IRN,2021,8.517397
ISR,2021,6.126761
ITA,2021,5.548371
JAM,2021,2.719439
JPN,2021,8.565739
JOR,2021,2.295755
KAZ,2021,14.413251
KEN,2021,0.374968
KIR,2021,0.555062
KSV,2021,3.396106
KWT,2021,24.972098
,2021,0.0
KGZ,2021,1.425929
LAO,2021,2.798295
LVA,2021,3.87755
LBN,2021,4.462819
,2021,0.0
LSO,2021,1.000312
LBR,2021,0.230149
LBY,2021,11.064887
LIE,2021,3.866656
LTU,2021,4.981189
LUX,2021,13.067857
MAC,2021,1.874101
MKD,2021,3.257478
MDG,2021,0.146784
MWI,2021,0.07804
MYS,2021,7.626434
MDV,2021,4.06203
MLI,2021,0.190357
MLT,2021,3.273205
MHL,2021,3.780319
MTQ,2021,5.6946
MRT,2021,0.892337
MUS,2021,3.442622
MYT,2021,0.864775
MEX,2021,3.213801
MNG,2021,15.029627
MNE,2021,2.789458
MSR,2021,4.681398
MAR,2021,1.903564
MOZ,2021,0.223094
MMR,2021,0.674871
NAM,2021,1.586792
NRU,2021,4.764679
NPL,2021,0.471885
NLD,2021,8.058958
NCL,2021,19.097542
NZL,2021,6.587061
NIC,2021,0.738594
NER,2021,0.106876
NGA,2021,0.641921
NIU,2021,6.154972
NOR,2021,7.565853
PSE,2021,0.602376
OMN,2021,17.916536
,2021,0.0
PAK,2021,0.991834
PLW,2021,13.229228
PAN,2021,2.994902
PNG,2021,0.85528
PRY,2021,1.279359
PER,2021,1.669323
PHL,2021,1.266802
BOL,2021,1.930686
POL,2021,8.577376
PRT,2021,3.964704
PRI,2021,0.0
QAT,2021,35.587357
CMR,2021,0.341829
KOR,2021,11.886424
MDA,2021,1.829658
SSD,2021,0.147192
SDN,2021,0.460786
REU,2021,4.246802
ROU,2021,4.104127
RUS,2021,12.09865
RWA,2021,0.130333
,2021,0.0
SHN,2021,2.550917
LCA,2021,2.704837
SXM,2021,14.711011
WSM,2021,1.344282
STP,2021,0.591547
SAU,2021,18.702989
SEN,2021,0.80572
SRB,2021,4.230501
SYC,2021,5.337406
SLE,2021,0.154312
SGP,2021,5.471564
SVK,2021,6.4814
SVN,2021,5.921143
SLB,2021,0.449141
SOM,2021,0.035766
ZAF,2021,7.339827
ESP,2021,4.920291
LKA,2021,0.954416
KNA,2021,4.995041
KNA,2021,0.0
SPM,2021,10.544484
VCT,2021,2.047981
SUR,2021,4.556728
SWZ,2021,0.911889
SWE,2021,3.424918
CHE,2021,4.019107
SYR,2021,1.266193
TWN,2021,11.854867
TJK,2021,1.060138
THA,2021,3.889545
TLS,2021,0.557426
TGO,2021,0.270916
TON,2021,1.649345
TTO,2021,23.677599
TUN,2021,2.575462
TUR,2021,5.263368
TKM,2021,13.088727
TCA,2021,7.562677
TUV,2021,0.7094
UGA,2021,0.126063
UKR,2021,4.637058
ARE,2021,21.792151
GBR,2021,5.1541
TZA,2021,0.205366
USA,2021,14.858668
URY,2021,1.966539
UZB,2021,3.568847
VUT,2021,0.547911
VEN,2021,2.827907
VNM,2021,3.344827
WLF,2021,2.392571
YEM,2021,0.378289
ZMB,2021,0.394194
ZWE,2021,0.706293
XIT,2021,
WLD,2021,4.693699
